TreeDepth,PID,Process,Args
0,4,System,Required memory at 0x20 is not valid (process exited?)
0,88,Registry,Required memory at 0x20 is not valid (process exited?)
0,404,smss.exe,\SystemRoot\System32\smss.exe
0,556,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,632,wininit.exe,wininit.exe
0,640,csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,700,winlogon.exe,winlogon.exe
0,768,services.exe,C:\Windows\system32\services.exe
0,776,lsass.exe,C:\Windows\system32\lsass.exe
0,908,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p -s PlugPlay
0,928,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p
0,952,fontdrvhost.ex,"""fontdrvhost.exe"""
0,960,fontdrvhost.ex,"""fontdrvhost.exe"""
0,496,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS -p
0,624,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM
0,512,LogonUI.exe,"""LogonUI.exe"" /flags:0x2 /state0:0xa3bd1855 /state1:0x41c64e6d"
0,1028,dwm.exe,"""dwm.exe"""
0,1092,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs -s TermService
0,1152,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1164,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -p -s nsi
0,1172,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
0,1180,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -s W32Time
0,1192,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1264,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
0,1312,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache
