TreeDepth,PID,Process,Base,Size,Name,Path,LoadTime,File output
0,404,smss.exe,0x7ff6a2b40000,0x26000,smss.exe,\SystemRoot\System32\smss.exe,2021-04-01 05:04:59.000000 ,Disabled
0,404,smss.exe,0x7ffa5c1a0000,0x1ed000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2021-04-01 05:04:59.000000 ,Disabled
0,556,csrss.exe,0x7ff6702b0000,0x7000,csrss.exe,C:\Windows\system32\csrss.exe,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa5c1a0000,0x1ed000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58180000,0x18000,CSRSRV.dll,C:\Windows\SYSTEM32\CSRSRV.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58160000,0x14000,basesrv.DLL,C:\Windows\system32\basesrv.DLL,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58140000,0x16000,winsrv.DLL,C:\Windows\system32\winsrv.DLL,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58410000,0x295000,kernelbase.dll,C:\Windows\System32\kernelbase.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa5a180000,0xb3000,kernel32.dll,C:\Windows\System32\kernel32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58120000,0x1f000,winsrvext.dll,C:\Windows\SYSTEM32\winsrvext.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa59e90000,0x197000,USER32.dll,C:\Windows\System32\USER32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58850000,0x20000,win32u.dll,C:\Windows\System32\win32u.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa59e60000,0x29000,GDI32.dll,C:\Windows\System32\GDI32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58270000,0x19c000,gdi32full.dll,C:\Windows\System32\gdi32full.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58870000,0xa0000,msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa586b0000,0xfa000,ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa5bcc0000,0x32e000,combase.dll,C:\Windows\System32\combase.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa595a0000,0x120000,RPCRT4.dll,C:\Windows\System32\RPCRT4.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa59350000,0x7f000,bcryptPrimitives.dll,C:\Windows\System32\bcryptPrimitives.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa587e0000,0x4a000,cfgmgr32.dll,C:\Windows\System32\cfgmgr32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa58110000,0xd000,sxssrv.DLL,C:\Windows\system32\sxssrv.DLL,2021-04-01 05:05:00.000000 ,Disabled
0,556,csrss.exe,0x7ffa57fa0000,0x9b000,sxs.dll,C:\Windows\system32\sxs.dll,2021-04-01 05:05:01.000000 ,Disabled
0,632,wininit.exe,0x7ff7e8480000,0x60000,wininit.exe,C:\Windows\system32\wininit.exe,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa5c1a0000,0x1ed000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa5a180000,0xb3000,KERNEL32.DLL,C:\Windows\System32\KERNEL32.DLL,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58410000,0x295000,KERNELBASE.dll,C:\Windows\System32\KERNELBASE.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa586b0000,0xfa000,ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa595a0000,0x120000,RPCRT4.dll,C:\Windows\System32\RPCRT4.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa5bff0000,0x9f000,sechost.dll,C:\Windows\System32\sechost.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58240000,0x24000,profapi.dll,C:\Windows\System32\profapi.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58100000,0xe000,wininitext.dll,C:\Windows\SYSTEM32\wininitext.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa593d0000,0x9e000,msvcrt.dll,C:\Windows\System32\msvcrt.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa59470000,0xa3000,ADVAPI32.dll,C:\Windows\System32\ADVAPI32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa59e90000,0x197000,USER32.dll,C:\Windows\System32\USER32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58850000,0x20000,win32u.dll,C:\Windows\System32\win32u.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa59e60000,0x29000,GDI32.dll,C:\Windows\System32\GDI32.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58270000,0x19c000,gdi32full.dll,C:\Windows\System32\gdi32full.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa58870000,0xa0000,msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,2021-04-01 05:05:00.000000 ,Disabled
0,632,wininit.exe,0x7ffa580d0000,0x2f000,SspiCli.dll,C:\Windows\system32\SspiCli.dll,2021-04-01 05:05:00.000000 ,Disabled
