TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xac818d45d080,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xac818d53b140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xac818d472b40,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xd40ca480e040,0x10,Directory,0xf000f,
0,4,System,0xd40ca4806d90,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xac818d4976c0,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0xd40ca480d100,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0xac818d49c9a0,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xac818d49c0a0,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xac818d49c120,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xac818d49cca0,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xac818d49c520,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xac818d49ca20,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xac818d49ce20,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xac818d49cea0,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xac818d49c3a0,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xac818d49c220,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xac818d49cba0,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xac818d5a7040,0x4c,Thread,0x1fffff,Tid 72 Pid 4
0,4,System,0xac818d5ab040,0x50,Process,0x1fffff,System Pid 88
0,4,System,0xd40ca48d67b0,0x54,Key,0x2001f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
0,4,System,0xac819158f760,0x58,Event,0x1f0003,
0,4,System,0xd40ca48430c0,0x5c,Key,0x0,
0,4,System,0xac81919b6060,0x60,Event,0x1f0003,
0,4,System,0xd40ca48d6bb0,0x64,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NOTIFICATIONS
0,4,System,0xd40ca48d69b0,0x68,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0,4,System,0xd40ca48d68b0,0x6c,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LEAPSECONDINFORMATION
0,4,System,0xd40ca48d6ab0,0x70,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001
0,4,System,0xd40ca48d6db0,0x74,Key,0x2001f,MACHINE\SYSTEM\SETUP
0,4,System,0xd40ca48d60b0,0x78,Key,0x11,MACHINE\SYSTEM\CONTROLSET001\CONTROL\POWER
0,4,System,0xac818d4c7d40,0x7c,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xd40ca4843b10,0x80,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001
0,4,System,0xac818d44edc0,0x84,ALPC Port,0x1f0001,PowerPort
0,4,System,0xd40ca4843a30,0x88,Key,0xf003f,USER
0,4,System,0xd40ca48d61b0,0x8c,Key,0xf003f,MACHINE\SYSTEM\DRIVERDATABASE
0,4,System,0xd40ca4843950,0x90,Key,0xf003f,MACHINE\SYSTEM
0,4,System,0xac818d48e7b0,0x94,Event,0x1f0003,
0,4,System,0xd40ca48d62b0,0x98,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\ENUM
0,4,System,0xd40ca48d63b0,0x9c,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
0,4,System,0xd40ca496a7a0,0xa0,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECLASSES
0,4,System,0xd40ca497f470,0xa4,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICECONTAINERS
0,4,System,0xd40ca4980e70,0xa8,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
0,4,System,0xd40ca4980170,0xac,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\CONTROL\DEVICEPANELS
0,4,System,0xd40ca496b140,0xb0,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES
0,4,System,0xd40ca4980470,0xb4,Key,0xf003f,MACHINE\SYSTEM\HARDWARECONFIG
0,4,System,0xd40ca496b840,0xb8,Key,0x11,MACHINE\SYSTEM\CONTROLSET001\CONTROL\PNP
0,4,System,0xd40ca4970a90,0xbc,SymbolicLink,0xf0001,XENBUS#VEN_XS0001&DEV_VBD&REV_00000001#_#{2accfe60-c130-11d2-b082-00a0c91efb8b}
0,4,System,0xd40ca496ace0,0xc0,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\HARDWARE PROFILES
0,4,System,0xd40ca497fd70,0xc4,Key,0xf003f,MACHINE\SYSTEM\RNG
0,4,System,0xd40ca48d64b0,0xcc,Key,0xf003f,MACHINE\SYSTEM\CONTROLSET001\SERVICES\XEN\UNPLUG
0,4,System,0xd40ca497f670,0xd0,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
0,4,System,0xd40ca497d970,0xd4,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0xd40ca4980970,0xd8,Key,0xf003f,MACHINE\SYSTEM\HARDWARECONFIG\{EC205B34-03DB-D9E7-8007-86274473B18D}\PRODUCTIDS
0,4,System,0xd40ca480f040,0xdc,Token,0xe,
0,4,System,0xd40ca497dc40,0xe0,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0xac818dc7c900,0xe4,ALPC Port,0x1f0001,PdcPort
0,4,System,0xd40ca496b5a0,0xe8,Key,0x10,MACHINE\SYSTEM\CONTROLSET001\CONTROL\STORPORT
0,4,System,0xac819006bee0,0xec,File,0x12019f,\Device\HarddiskVolume1\Windows\System32\config\TxR\{5db43ff9-0dd3-11eb-829a-806e6f6e6963}.TMContainer00000000000000000002.regtrans-ms
0,4,System,0xac819006bc00,0xf0,File,0x12019f,\Device\HarddiskVolume1\Windows\System32\config\TxR\{5db43ff9-0dd3-11eb-829a-806e6f6e6963}.TMContainer00000000000000000001.regtrans-ms
0,4,System,0xac819006ac30,0xf4,File,0x12019f,\Device\HarddiskVolume1\Windows\System32\config\TxR\{5db43ff9-0dd3-11eb-829a-806e6f6e6963}.TM.blf
0,4,System,0xac819006c8f0,0xf8,File,0x13008b,\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
0,4,System,0xd40ca4f18820,0xfc,Section,0x17,
0,4,System,0xd40ca4f17ba0,0x100,Section,0x17,
0,4,System,0xac819016c7e0,0x104,File,0x10003,\Device\HarddiskVolume1\Windows\System32\config\RegBack\DEFAULT
0,4,System,0xd40ca497fa70,0x108,Key,0x10,MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
0,4,System,0xd40ca4cffd70,0x10c,Key,0x20019,MACHINE\SYSTEM\CONTROLSET001\CONTROL
0,4,System,0xac81900810d0,0x110,File,0x20003,\Device\HarddiskVolume1\Windows\System32\config\SYSTEM
0,4,System,0xac8190082200,0x114,File,0x140003,\Device\HarddiskVolume1\pagefile.sys
0,4,System,0xd40ca4f21d70,0x118,SymbolicLink,0xf0001,XENVIF#VEN_XS0001&DEV_NET&REV_0000000B#0#{ad498944-762f-11d0-8dcb-00c04fc3358c}
0,4,System,0xac818df99b60,0x120,Event,0x2,EFSInitEvent
0,4,System,0xac818dfc5470,0x124,File,0x100001,\Device\KsecDD
