TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,4,System,0x77960000,False,False,False,\Windows\SysWOW64\ntdll.dll
0,4,System,0x7ffa5c170000,False,False,False,\Windows\System32\vertdll.dll
0,4,System,0x7ffa5c1a0000,False,False,False,\Windows\System32\ntdll.dll
0,404,smss.exe,0x7ffa5c1a0000,True,True,True,\Windows\System32\ntdll.dll
0,404,smss.exe,0x7ff6a2b40000,True,False,True,\Windows\System32\smss.exe
0,556,csrss.exe,0x27807a50000,False,False,False,\Windows\System32\en-US\csrss.exe.mui
0,556,csrss.exe,0x27807a80000,False,False,False,\Windows\System32\en-US\winsrv.dll.mui
0,556,csrss.exe,0x7ffa58180000,True,True,True,\Windows\System32\csrsrv.dll
0,556,csrss.exe,0x7ff6702b0000,True,False,True,\Windows\System32\csrss.exe
0,556,csrss.exe,0x7ffa58140000,True,True,True,\Windows\System32\winsrv.dll
0,556,csrss.exe,0x7ffa58110000,True,True,True,\Windows\System32\sxssrv.dll
0,556,csrss.exe,0x7ffa57fa0000,True,True,True,\Windows\System32\sxs.dll
0,556,csrss.exe,0x7ffa58120000,True,True,True,\Windows\System32\winsrvext.dll
0,556,csrss.exe,0x7ffa58160000,True,True,True,\Windows\System32\basesrv.dll
0,556,csrss.exe,0x7ffa595a0000,True,True,True,\Windows\System32\rpcrt4.dll
0,556,csrss.exe,0x7ffa58850000,True,True,True,\Windows\System32\win32u.dll
0,556,csrss.exe,0x7ffa58410000,True,True,True,\Windows\System32\KernelBase.dll
0,556,csrss.exe,0x7ffa58270000,True,True,True,\Windows\System32\gdi32full.dll
0,556,csrss.exe,0x7ffa586b0000,True,True,True,\Windows\System32\ucrtbase.dll
0,556,csrss.exe,0x7ffa587e0000,True,True,True,\Windows\System32\cfgmgr32.dll
0,556,csrss.exe,0x7ffa58870000,True,True,True,\Windows\System32\msvcp_win.dll
0,556,csrss.exe,0x7ffa59350000,True,True,True,\Windows\System32\bcryptprimitives.dll
0,556,csrss.exe,0x7ffa59e90000,True,True,True,\Windows\System32\user32.dll
0,556,csrss.exe,0x7ffa59e60000,True,True,True,\Windows\System32\gdi32.dll
0,556,csrss.exe,0x7ffa5bcc0000,True,True,True,N/A
0,556,csrss.exe,0x7ffa5a180000,True,True,True,\Windows\System32\kernel32.dll
0,556,csrss.exe,0x7ffa5c1a0000,True,True,True,\Windows\System32\ntdll.dll
0,632,wininit.exe,0x29c876d0000,False,False,False,\Windows\System32\en-US\user32.dll.mui
0,632,wininit.exe,0x7ffa586b0000,True,True,True,\Windows\System32\ucrtbase.dll
0,632,wininit.exe,0x7ffa580d0000,True,True,True,\Windows\System32\sspicli.dll
0,632,wininit.exe,0x7ffa57240000,True,True,True,\Windows\System32\profext.dll
0,632,wininit.exe,0x7ff7e8480000,True,False,True,\Windows\System32\wininit.exe
0,632,wininit.exe,0x7ffa57100000,True,True,True,\Windows\System32\FirewallAPI.dll
0,632,wininit.exe,0x7ffa570a0000,True,True,True,\Windows\System32\fwbase.dll
0,632,wininit.exe,0x7ffa57700000,True,True,True,\Windows\System32\dnsapi.dll
0,632,wininit.exe,0x7ffa576c0000,True,True,True,\Windows\System32\IPHLPAPI.DLL
0,632,wininit.exe,0x7ffa580a0000,True,True,True,\Windows\System32\userenv.dll
0,632,wininit.exe,0x7ffa579a0000,True,True,True,\Windows\System32\mswsock.dll
0,632,wininit.exe,0x7ffa58240000,True,True,True,\Windows\System32\profapi.dll
0,632,wininit.exe,0x7ffa58100000,True,True,True,\Windows\System32\wininitext.dll
0,632,wininit.exe,0x7ffa58410000,True,True,True,\Windows\System32\KernelBase.dll
