TreeDepth,Offset,Base,Size,Name,Path,File output
0,0xac818d445ae0,0xf80732aa4000,0xa6b000,ntoskrnl.exe,\SystemRoot\system32\ntoskrnl.exe,Disabled
0,0xac818d445e10,0xf80732a06000,0x9d000,hal.dll,\SystemRoot\system32\hal.dll,Disabled
0,0xac818d446010,0xf80733600000,0xb000,kdcom.dll,\SystemRoot\system32\kd.dll,Disabled
0,0xac818d4461b0,0xf80c9c200000,0x271000,mcupdate.dll,\SystemRoot\system32\mcupdate_GenuineIntel.dll,Disabled
0,0xac818d4463a0,0xf80c9c480000,0x62000,msrpc.sys,\SystemRoot\System32\drivers\msrpc.sys,Disabled
0,0xac818d446550,0xf80c9c4f0000,0x29000,ksecdd.sys,\SystemRoot\System32\drivers\ksecdd.sys,Disabled
0,0xac818d446700,0xf80c9c520000,0x11000,werkernel.sys,\SystemRoot\System32\drivers\werkernel.sys,Disabled
0,0xac818d4468b0,0xf80c9c540000,0x6a000,CLFS.SYS,\SystemRoot\System32\drivers\CLFS.SYS,Disabled
0,0xac818d446a50,0xf80c9c5b0000,0x27000,tm.sys,\SystemRoot\System32\drivers\tm.sys,Disabled
0,0xac818d446bf0,0xf80c9c5e0000,0x18000,PSHED.dll,\SystemRoot\system32\PSHED.dll,Disabled
0,0xac818d446da0,0xf80c9c000000,0xb000,BOOTVID.dll,\SystemRoot\system32\BOOTVID.dll,Disabled
0,0xac818d447010,0xf80c9c010000,0x70000,FLTMGR.SYS,\SystemRoot\System32\drivers\FLTMGR.SYS,Disabled
0,0xac818d4471c0,0xf80c9c090000,0x10b000,clipsp.sys,\SystemRoot\System32\drivers\clipsp.sys,Disabled
0,0xac818d4473a0,0xf80c9c1a0000,0xe000,cmimcext.sys,\SystemRoot\System32\drivers\cmimcext.sys,Disabled
0,0xac818d447550,0xf80c9c1b0000,0xc000,ntosext.sys,\SystemRoot\System32\drivers\ntosext.sys,Disabled
0,0xac818d4476f0,0xf80c9d0c0000,0xd5000,CI.dll,\SystemRoot\system32\CI.dll,Disabled
0,0xac818d4478b0,0xf80c9c600000,0xb8000,cng.sys,\SystemRoot\System32\drivers\cng.sys,Disabled
0,0xac818d447a60,0xf80c9c6c0000,0xd1000,Wdf01000.sys,\SystemRoot\system32\drivers\Wdf01000.sys,Disabled
0,0xac818d447c20,0xf80c9c7a0000,0x13000,WDFLDR.SYS,\SystemRoot\system32\drivers\WDFLDR.SYS,Disabled
0,0xac818d447dc0,0xf80c9c7c0000,0x10000,WppRecorder.sys,\SystemRoot\system32\drivers\WppRecorder.sys,Disabled
0,0xac818d448010,0xf80c9c7e0000,0xf000,SleepStudyHelper.sys,\SystemRoot\system32\drivers\SleepStudyHelper.sys,Disabled
0,0xac818d4481c0,0xf80c9c7f0000,0x24000,acpiex.sys,\SystemRoot\System32\Drivers\acpiex.sys,Disabled
0,0xac818d448360,0xf80c9c820000,0x48000,mssecflt.sys,\SystemRoot\system32\drivers\mssecflt.sys,Disabled
0,0xac818d448510,0xf80c9c870000,0x1a000,SgrmAgent.sys,\SystemRoot\system32\drivers\SgrmAgent.sys,Disabled
0,0xac818d4486c0,0xf80c9c890000,0xc8000,ACPI.sys,\SystemRoot\System32\drivers\ACPI.sys,Disabled
0,0xac818d448880,0xf80c9c960000,0xc000,WMILIB.SYS,\SystemRoot\System32\drivers\WMILIB.SYS,Disabled
0,0xac818d448bc0,0xf80c9c990000,0x16000,WindowsTrustedRT.sys,\SystemRoot\system32\drivers\WindowsTrustedRT.sys,Disabled
0,0xac818d448d70,0xf80c9c9b0000,0x43000,intelpep.sys,\SystemRoot\System32\drivers\intelpep.sys,Disabled
0,0xac818d449010,0xf80c9ca00000,0xb000,WindowsTrustedRTProxy.sys,\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys,Disabled
0,0xac818d4491d0,0xf80c9ca10000,0x14000,pcw.sys,\SystemRoot\System32\drivers\pcw.sys,Disabled
0,0xac818d449510,0xf80c9ca50000,0x151000,NDIS.SYS,\SystemRoot\system32\DRIVERS\NDIS.SYS,Disabled
0,0xac818d4496e0,0xf80c9cbb0000,0x95000,NETIO.SYS,\SystemRoot\system32\DRIVERS\NETIO.SYS,Disabled
0,0xac818d4498a0,0xf80c9cc50000,0xb000,msisadrv.sys,\SystemRoot\System32\drivers\msisadrv.sys,Disabled
0,0xac818d449a40,0xf80c9cc60000,0x12000,vdrvroot.sys,\SystemRoot\System32\drivers\vdrvroot.sys,Disabled
0,0xac818d449be0,0xf80c9cc80000,0x6b000,pci.sys,\SystemRoot\System32\drivers\pci.sys,Disabled
0,0xac818d449d80,0xf80c9ccf0000,0x31000,xenbus.sys,\SystemRoot\System32\drivers\xenbus.sys,Disabled
0,0xac818d44a010,0xf80c9cd30000,0x1a000,xen.sys,\SystemRoot\System32\drivers\xen.sys,Disabled
